text,polarity,magnitude
You can from the outside.,1,0
I couldn't sleep well because it was noisy outside.,-1,0.8
I don't like shellfish.,-1,0.8
I missed a step on the stairs and I'm afraid I sprained my ankle.,1,0.1
He called his father as he went up the stairs.,1,0.6
Go up the stairs.,1,0.6
I'm out of breath after running up the stairs.,1,0.3
Watch your step in going down the stairs.,-1,0
I fell down the stairs and hit my back very hard.,-1,0.2
The hierarchy of rank has long been fixed.,-1,0.6
Please come downstairs.,-1,0.5
Election returns were what we had expected.,-1,0
Grand opening sale.,1,0.2
The settlers learned that the land in the valley was fertile.,1,0.2
The settlers embraced the Christian religion.,-1,0
"Pioneer men and women had a hard life, and so did their children.",1,0.2
The pioneers met with many dangers.,-1,0
The colonists bartered with the natives for fur.,1,0
The opening ceremony took place on schedule.,-1,0.7
The opening of the country had a great influence on Japanese civilization.,1,0.2
The opening ceremony took place yesterday.,-1,0.7
I plan to invite a lot of guests to the opening ceremony.,-1,0
The opening address alone lasted one hour.,-1,0.6
The curtain rises at 7 p.m.,-1,0
No admittance during the performance.,-1,0.6
What time does the play begin?,-1,0.4
I found the box empty.,-1,0.7
Keep your eyes closed until I tell you to open them.,-1,0.7
Open up.,1,0
"If you turn on me like that, I cannot talk any more.",-1,0.8
You cannot make a crab walk straight.,-1,0.8
I would like to excuse myself from receiving the Akutagawa Prize.,-1,0.6
Picture books will cultivate the minds of children.,1,0.2
Paintings should not be exposed to direct sunlight.,-1,0.5
The first virtue of a painting is to be a feast for the eyes.,1,0.3
I draw for a hobby.,1,0
Drawing is a lot of fun; it helps me to relax.,1,0.9
Look at the picture.,1,0
How many pictures did you buy?,-1,0.4
The picture looks better at a distance.,1,0.1
Is the picture straight?,-1,0.3
I'm going to France to study painting.,1,0.2
Everybody in the picture is smiling happily.,1,0.1
The girl in the picture is wearing a crown not of gold but of flowers.,-1,0
You must not touch the paintings.,-1,0.5
Never confuse art with life.,-1,0.5
The picture is hung crooked.,-1,0.9
The picture hangs over the table.,-1,0.6
"Strange to say, all the lights in the house were on, though no one was at home.",-1,0.5
May I begin by thanking every one for your warm welcome?,-1,0.1
"May I have your attention, please?",-1,0.5
Excuse us for the inconvenience.,-1,0.7
I esteem it an honor to address this audience.,-1,0.7
May you all be happy.,1,0.2
I don't have the slightest idea.,-1,0.3
All were satisfied.,1,0.3
Everyone says that he's a good man.,1,0.8
"Everybody was disguised, so I couldn't tell who was who.",-1,0.6
They regarded him as the best doctor in town.,1,0.7
Everybody seems to pay attention to what he says.,-1,0.2
Everybody wished he had been elected governor.,-1,0.2
"Everyone opposed it, but they got married all the same.",1,0.1
A cellar was dug on top of the hill and they slowly moved the house from the road to the hill.,-1,0.8
Everybody came to the class on time.,1,0
The project was successful in the sense that it drew the attention of everyone.,1,0.6
Is there enough food to go around?,1,0
"I will see you, each in your turn.",-1,0.1
Let's extend our heartiest welcome to Miyake-san.,1,0.3
Each is good in its degree.,1,0.6
Everybody was interested in the story.,-1,0.1
Make sure that all of you arrive at nine.,-1,0
You are making history.,1,0
You don't have to trouble yourselves.,-1,0.6
You can enter the library freely.,1,0
How is everyone?,-1,0.5
"Are you creating for us a future world where there is a greater danger of skin cancer, weakened bodies, less food and fewer plants and animals?",-1,0.8
With kind regards to you all.,1,0
"Ladies and gentlemen, please allow me to say a few words of welcome.",1,0
I will miss you all.,-1,0.4
I'll never forget having a good time with you all.,1,0.7
"Ladies and gentlemen, please come this way.",1,0.2
Make yourselves comfortable.,1,0
"Please be quiet, everybody.",1,0.1
I hope you are all well.,1,0.6
All aboard!,1,0.4
"Good morning, everybody.",1,0.6
"Be silent in the library, boys.",-1,0.1
"Ladies and gentlemen, I would like you to listen to my opinion.",1,0.4
"All right, everyone, let's not stand on ceremony tonight. Cheers!",0,1.6
"Look at the blackboard, everyone.",1,0.2
"Good morning, everyone.",1,0.7
My best wishes to you and yours.,1,0.7
Speak clearly so that everyone may hear you.,-1,0
Everybody took a hostile attitude toward illegal aliens.,-1,0.9
Everyone regarded him as a great singer.,1,0.8
Everybody laughed.,-1,0.1
Everybody looks up to him.,1,0
Everybody laughed at me.,-1,0
He got angry because he thought that everyone was trying to make a fool of him.,-1,0.8
Everyone looked on me as a leader.,1,0.1
I was happy to find that they agreed to my plan.,1,0.7
Everybody blames me for my careless mistake.,-1,0.7
"We went to the theater early, so we could be sure that everyone could get a seat.",1,0
All of you are familiar with the truth of the story.,-1,0
They all looked up to him as their leader.,-1,0.5
This meeting is a waste of time. Everybody is just talking in vague theoretical terms.,-1,1.6
I broke your ashtray.,-1,0.8
I need an ashtray.,-1,0.6
Put the ashtray within eyes reach.,-1,0.7
Throw a sprat to catch a whale.,1,0.1
Has a change in ocean currents occurred?,-1,0.6
"Mountains in the ocean and even whole ranges are still being discovered, and most of them have not yet been explored in detail.",1,0.5
Voyages of exploration were the earliest in the history of studying the ocean.,-1,0.1
"If we are to judge the future of ocean study by its past, we can surely look forward to many exciting discoveries.",1,0.8
Driving along the coast is wonderful.,1,0.8
The seaside is an ideal spot for the children to play.,1,0.9
The air by the sea is pure and healthy.,1,0.5
I am taking a holiday at the beach.,1,0.1
Mr Kaifu is used to making speeches in public.,-1,0.3
Low-lying lands will flood. This means that people will be left homeless and their crops will be destroyed by the salt water.,-1,1.6
We want to explore an underwater oil field.,1,0.4
A submarine cable was laid between the two countries.,1,0
The pirates had no choice but to surrender.,-1,0.7
The pirates buried their treasure in the ground.,1,0.3
Larger pirates often preyed on unarmed merchant ships.,-1,0
Let's make believe that we're pirates.,1,0
The pirates sailed the seven seas.,-1,0.6
This is the first time I've had seaweed.,1,0.3
A sailor frequently has no time to get his sea legs after leaving port before a battle starts.,-1,0.4
The seawater stings my cut.,-1,0.8
He met his friend while bathing in the sea.,1,0.8
There was a violent storm at sea.,1,0
Kaishuu made nothing of hardship.,-1,0.6
It seems the navy jets had a major screw-up in navigation and they bombed their own troops by mistake.,-1,0.6
A short stroll along the beach gave me a good appetite for breakfast.,1,0.8
What do you say to taking a walk by the seaside?,-1,0.4
There is no reason to wear a suit to the beach.,-1,0.2
Which way is the beach?,-1,0.3
"Seaside resorts, such as Newport, are very crowded in summer.",1,0.8
They went to the beach.,-1,0.4
There were few people on the beach.,-1,0.1
Paul's family spends the summer at the coast every year.,1,0.6
We'll have a barbecue at the beach.,1,0.2
I saw a fishing boat about a mile off the shore.,1,0.4
You will benefit by a trip abroad.,1,0.7
Would you like to travel abroad?,-1,0.2
Traveling abroad is one of my favorite things.,1,0.8
Traveling abroad is now more popular.,1,0.8
I had a chance to travel abroad.,1,0.3
"I've been invited on a trip abroad, but I don't want to go.",-1,0.3
Traveling abroad is out of the question.,1,0.5
Unfair tariffs are imposed on foreign products.,-1,0.8
Canada is a good place to go if it's your first experience living abroad.,1,0.8
Overseas food exports are one of the mainstays of agribusiness.,1,0
It's going to be six dollars because it's international.,-1,0.5
"When you travel abroad, you usually need a passport.",1,0.6
The number of students going abroad to study is increasing each year.,1,0.2
More and more couples go on honeymoon trips abroad.,1,0.9
The number of Japanese going overseas has been increasing year by year.,-1,0.1
The number of students going abroad is on the increase.,1,0
"If you are going abroad, it's necessary to have a passport.",1,0.2
The circumstances did not allow me to go abroad.,-1,0.7
The cost of flying overseas has risen with the cost of fuel.,-1,0
Japanese tourists abroad are big spenders.,-1,0.4
Overseas subsidiaries are putting out top-of the-line products.,-1,0.4
"When you go abroad, you'd better keep in mind that tipping is necessary.",-1,0
You should take another pair of glasses when you go abroad.,-1,0
"When you travel abroad, you feel very expansive, and it's easy to overspend in a mood like that.",1,0.9
I've never been abroad.,-1,0.7
"Whenever I go abroad, I suffer from jet lag and diarrhea.",-1,0.8
"Our international sales continue to grow, bringing the name of Toyo Computer into businesses world-wide.",1,0.7
"By studying overseas, students can come into contact with other manners and customs.",-1,0.3
"Japanese children brought up overseas sometimes face great difficulty in adjusting themselves to Japanese schools after returning, even though they have a perfect command of Japanese.",-1,0.3
Neptune is the eighth planet of the solar system.,1,0.6
I work for a shipping company.,1,0.3
Let's get a picture of us with the sea in the background.,-1,0.2
"When I contemplate the sea, I feel calm.",1,0.8
It is no more than half a mile to the sea.,-1,0.4
It is no more than a mile to the sea.,-1,0.3
Let's drive as far as the sea.,1,0.2
The sea covers nearly three-fourths of the earth's surface.,-1,0.1
The sea was truly calm.,1,0.8
The ocean was calm.,1,0.4
Oceans do not so much divide the world as unite it.,-1,0.3
The ocean melted into the sky on the horizon.,-1,0.2
The sea was running high.,-1,0
The sea was as smooth as glass.,1,0.4
The ocean affords various kinds of resources.,1,0.9
The sea looks calm and smooth.,1,0.9
The sea is far from calm.,1,0.1
The sea grew wilder and wilder.,1,0.5
The sea is very wide.,-1,0.7
The rise and fall of the sea is governed by the moon.,-1,0.1
"The sea ice is highly variable - frozen solid during cold, calm weather and broken up in large areas of open water during storms.",1,0.8
Who shall ever unravel the mysteries of the sea?,-1,0.5
A variety of creatures can be seen under the water.,1,0.5
"You can not drink the seawater, for it is too salty.",-1,0.9
Marine plants grow on the sea bed.,1,0
Could you change my room to one with a view of the ocean?,1,0
Do you have a table with a view of the ocean?,-1,0.3
"Despite having lived near the sea, she still cannot swim.",-1,0.7
Far away across the sea lies the sunny land of Italy.,-1,0.8
There is a low hill near the sea.,-1,0.9
I'd like a room facing the ocean instead.,-1,0.5
I'd like to get a view of the ocean.,-1,0
"It's on the coast about 13 kilometers to the north of its more famous neighbor, Dover.",1,0.1
I cast my net into the sea.,1,0
"If you go underwater, hold your nose and blow to clear your ears.",1,0.5
Most creatures in the sea are affected by pollution.,-1,0
I would rather go to the mountains than to the beach.,1,0.6
"Surrounded by the sea, Japan has a mild climate.",1,0.4
"Which do you like better, the sea or the mountains?",1,0
The colors of the sea and the sky blend into each other.,1,0.6
The sea is to fish what the sky is to birds.,1,0.3
You must be careful when swimming in the sea.,-1,0.4
It is fun to swim in the sea.,1,0.7
Swimming in the sea is great fun.,1,0.9
Some children are swimming in the sea.,-1,0.7
To swim in the ocean is my greatest pleasure.,1,0.7
The sea is down.,-1,0
"The sea got rough, so that we had to give up fishing.",-1,0.2
Some people like the sea; others prefer the mountains.,1,0.5
The sea came into sight.,1,0
The sea indented the coastline.,1,0.2
The sun rose from the sea.,1,0.2
Winds from the sea are moist.,1,0.5
The sea is not clear.,-1,0.7
Turtles live to a great age.,1,0.8
Improved medical technology has been one of the spin-offs of the space program.,1,0.7
There's a lot of room left for improvement.,-1,0.4
Show your ticket at the barrier.,-1,0
The reformers were subject to every attack from the Establishment.,-1,0.2
It is never too late to mend.,-1,0.3
I have nothing particular to say.,-1,0
I thought it would be a good idea to get back in touch with Japanese culture and history.,-1,0.6
I groped for a flashlight.,1,0.1
She shone her torch onto the floor before us.,1,0
Flashing lights transmit messages between ships and to motorists along city streets.,1,0
I have plenty of money with me.,1,0.1
"The good old days have gone, never to return.",-1,0.7
I like to talk about the good old days.,1,0.5
We're on our way home.,1,0.1
There go the twelve bars blues.,1,0.2
The monster's smile was cruel.,-1,0.8
The Sphinx howled with rage.,1,0
"Hearing the monster's footsteps, they began running in all directions.",-1,0.7
Cover up the injured man with this blanket.,1,0.3
You will hurt yourself.,-1,0.8
Don't cry trouble half-way.,-1,0.4
We could hear the groans of the injured man.,-1,0.4
An injury put the shortstop out of action.,1,0.4
She fumbled with the glasses as she brought them in.,-1,0
"A good appetite, sound sleep, and regular motions are the three signs of good health.",1,0.8
Some people pursue only pleasure.,-1,0.1
She greeted me with a pleasant smile.,1,0.8
Mere decay produces richer life.,1,0.5
Would you please replace the broken one promptly?,1,0
I replaced the broken cups with new ones.,1,0.1
The broken window was boarded up.,-1,0.3
Cold blasts from the broken window chilled us.,-1,0.2
I fix broken radios.,-1,0.7
The clock that got broken must be repaired right away.,1,0
Can you fix the broken radio?,-1,0.2
I made a temporary repair to the broken door.,-1,0.6
It took three hours to put the broken toy together.,-1,0.7
The engineers blew up the bridge because it was about to collapse.,-1,0.3
You must switch off the power before checking the circuit.,-1,0.1
Recovery was almost impossible.,-1,0.8
May I have coupon tickets?,-1,0.2
It was twenty years ago as I look back on it.,-1,0.2
I order you to turn right.,-1,0
About face!,-1,0.1
"If it isn't out of your way, please take this letter to the post office.",-1,0.7
There was a thick fog around.,-1,0.2
Don't talk around it.,-1,0.9
Stop beating around the bush and give it to me straight!,1,0.3
Don't say it in a roundabout way.,-1,0.4
Don't beat around the bush.,1,0.7
You have to pay the price.,-1,0.7
I am considering how to settle the matter.,1,0.1
All answers must be written according to the instructions.,-1,0.5
Finding a solution that worked was a process of trial and error.,-1,0.8
It was apparent that there was no way out.,-1,0.8
The settlement is a matter of time.,-1,0.4
His explanation that a solution would take time didn't satisfy anyone.,-1,0.9
There are many problems to solve.,-1,0.7
We have some pressing problems to solve.,1,0.1
I will show you how to solve it.,-1,0.4
He went to France to brush up on his speaking ability.,1,0.1
Being a good conversationalist does not just mean being a good speaker of English.,1,0.7
"In conversation, one is likely to find out certain things about the other person quite easily.",1,0
Do you know that conversation is one of the greatest pleasures in life?,1,0.4
"When you enter a conversation, you should have something to say.",-1,0.5
Won't you join our conversation?,-1,0.9
Wit is to conversation what salt is to food.,-1,0.4
Why don't you join in the conversation?,-1,0.8
Cross off the names of the people who have paid their dues.,-1,0.4
"With regard to the membership fee, you must ask the treasurer of the club.",-1,0.8
Many members dropped out of the club when the dues were raised.,-1,0.1
The hall resounded with pealing bells.,1,0.2
For whom will you vote for president?,-1,0.1
The President did me the courtesy of replying to my letter.,-1,0.4
You cannot be too polite when you meet the president.,1,0.1
The talks continued for two days.,-1,0.5
The hall was filled with such a large audience that there wasn't even standing room.,-1,0.9
This hall was full of people.,-1,0.2
The concert hall was so jam-packed there wasn't room to breathe.,-1,0.8
The congregation was moved by the fine sermon.,1,0
We held a party in honor of the 20th anniversary of our company.,1,0.4
Send this parcel to him in care of his company.,-1,0
We need a new leader to pull our company together.,-1,0
Whoever leaves the office last should turn off the light.,-1,0.6
"On behalf of the company, I would like to express our hearty thanks to you all.",1,0.8
Management of a company is different from ownership of a company.,-1,0.2
Don't put the company in danger.,-1,0.5
I hope I can hold on to my job.,1,0.5
Hans sold the patent to a company.,-1,0
Call me at the office.,1,0
I had my wallet stolen on my way to the office.,-1,0.7
The company engaged him as an advisor.,1,0.3
"When you return to your company, don't forget to keep in touch with me.",-1,0
The company rejected his request for a transfer.,-1,0.4
The company presented him with a gold watch on the day he retired.,1,0.8
"The company pays me 100,000 yen in various allowances a month in addition to the regular salary.",1,0.1
The company appealed for people to take voluntary resignation.,-1,0.1
The company was in the red and went under.,1,0
The company moved its corporate domicile to Hong Kong for tax purposes.,-1,0.5
The company gave him enough pension to live on.,1,0.6
The company is caught up in a serious business slump.,-1,0.7
The company is struggling for survival.,-1,0.6
Our advice is that the company invest in new equipment.,1,0.1
The office was besieged by anxious inquiries.,-1,0.1
The company rewarded him with promotion.,1,0.5
The company exploited its workers with low pay.,-1,0.9
The company is attempting to stagger work hours.,-1,0.8
The firm went under due to lack of capital.,-1,0.6
The company has growing pains now.,-1,0.3
The company is turning to export markets to make up for a decline in domestic sales.,-1,0.8
The office has been topsy-turvy since the merger upset everything.,-1,0.9
The community is made up of individuals.,1,0.3
The company took action against its former accountant.,-1,0.7
The company is in financial difficulties.,1,0.2
The firm has a great deal of trust in your ability.,1,0.9
The company managed to keep afloat.,-1,0.3
The company plans to close its U.S. sales unit in New York.,-1,0.2
The company bought shares in the venture.,1,0.1
The company abandoned that project.,-1,0.6
The company drew back from the project.,-1,0.6
The company was in want of money.,-1,0.5
The company called in all the baby food made in July.,-1,0.4
The company went after its No. 1 customer gripe: power outages.,-1,0.5
The company's gamble paid off.,-1,0.8
The company's profits soared.,-1,0.6
It took me several days to balance the company books.,-1,0.2
This company owes its success to him.,1,0
"In some companies, employees use paid holidays for their summer vacations.",1,0.1
Some of the company's executives are out of town for a conference.,1,0.2
Scott's job is to evaluate the assets of companies.,1,0.4
The office manager will explain to the new typist where she should work and what she should do.,-1,0.2
My responsibility is to keep the company solvent.,1,0
We used to meet at a coffee shop in Shinjuku after work.,-1,0.4
He bore the future of the company on his shoulders.,1,0.5
The company is at the end of its rope.,1,0
Want to grab a drink on the way home?,-1,0.5
They chartered a bus for the firm's outing.,1,0
My company is sending us all to Hakone this year.,-1,0.7
"We all pigged out at the company Christmas party, especially on the roast beef.",-1,0
New hires who just joined the company do everything in this timid manner.,1,0.1
Some companies guarantee their workers a job for life.,1,0.1
He's a pretty unique guy wearing bell bottoms and Hawaiian shirts to the office.,1,0.3
Try to get ahead in your company.,1,0
His official title at the company is Assistant to the President.,-1,0
The company is in deficit.,1,0
The prospects for his career at the company are not quite promising.,-1,0.1
"When the company refused to increase their wages, they walked out.",-1,0.8
I suggested that we bring the meeting to an end.,1,0.3
We are having a meeting.,1,0
We insist that a meeting be held as soon as possible.,1,0.3
We got the meeting over with quickly.,1,0.3
The meeting is to be held next Thursday.,1,0.1
There was a convention last month.,-1,0.4
The meeting was last month.,-1,0.2
The meeting was put off until next Friday.,-1,0.5
The meeting will take place next Sunday.,1,0.1
The meeting will commence.,-1,0
The meeting began at five in the afternoon.,-1,0.5
His meeting began at five in the afternoon.,-1,0
The meeting ended at three in the afternoon.,-1,0
The meeting is held twice a month.,-1,0.5
The meeting was arranged for Tuesday.,1,0
The meeting will be put off.,-1,0.1
The meeting dragged on.,-1,0.7
The meeting began at nine o'clock sharp.,-1,0.7
The meeting broke up at eight.,-1,0.9
The meeting begins at three.,-1,0.1
The meeting will start at four o'clock sharp.,1,0.1
The meeting lasted two hours.,-1,0.4
We will let you know the time and date of the meeting soon.,1,0
The date and place of the meeting have been fixed.,-1,0.4
Where will we meet?,-1,0.8
Please remind me of the time of the meeting.,-1,0.2
I had intended to attend the meeting.,1,0
Only a handful of people came to the meeting.,-1,0.9
Twelve are present at the meeting.,-1,0.2
No less than 100 people attended the meeting.,1,0
I will tell her what to say at the meeting.,1,0.2
I don't know why the meeting was postponed.,-1,0.6
The accountant would not concede the mistake.,-1,0.8
A bookkeeper computes all the company's income and expenses each week.,-1,0
The treasurer was short in his accounts.,-1,0.4
The accountant was blamed for the mistake.,-1,0.8
The accountant will go into these figures.,-1,0.3
"When the accountant was arrested, rumour had it that it was for his creative bookkeeping.",-1,0.3
Could I have the check?,-1,0.1
Pay the cashier on the way out.,-1,0.8
Could you add the cost to my room bill?,1,0.1
Where is the counter to pay my bill?,-1,0.8
The accounts have been audited.,-1,0.2
Could you please call him into the meeting?,-1,0.3
My stomach started growling right there in the meeting. It was embarrassing.,-0.7,1
Please let me know immediately if you would like to set up an area of the conference room for your products.,-1,0.7
The meeting room is downstairs.,1,0.1
The conference is to be held in Tokyo.,1,0
We adjourned the meeting for lunch.,1,0.3
How do you account for your absence from the meeting?,-1,0.8
We'll resume the meeting after tea.,-1,0.6
The meeting is to be held next week.,-1,0
The meeting will be held next month.,1,0.3
The meeting has been put off until next week.,-1,0.2
The conference is to be held in Tokyo the day after tomorrow.,-1,0.8
The meeting will be held tomorrow.,-1,0
The conference was cloaked in secrecy.,-1,0
There was an air of excitement at the meeting.,1,0.4
The meeting will be held regardless of the weather.,1,0.7
The meeting was canceled.,-1,0.9
The meeting was attended by many.,1,0
The conference was drawing to an end.,-1,0.3
The meeting was adjourned until the next week.,-1,0.4
The meeting was adjourned until the following week.,-1,0.5
The meeting will be postponed till the 20th of this month.,-1,0
The meeting will be held this afternoon.,1,0.4
The meeting is scheduled for 10 a.m.,1,0.2
The meeting closed at four p.m.,-1,0.8
The meeting lasted until 5.,-1,0.4
The conference went off according to the plan.,-1,0.7
It has been agreed that the meeting will be held on Friday.,1,0.1
The meeting ended on an optimistic note.,-1,0.4
It was announced that the meeting would be put off.,-1,0.7
Meetings are held every other week.,1,0.1
The conference will commence in due course.,1,0.3
"The conference is already over, sir.",-1,0.8
The meeting went on in this manner.,-1,0
The meeting was held here.,1,0.4
The meeting ended earlier than usual.,1,0
"Meetings are to be held on the afternoon of July 15 (Tuesday), all day July 16 (Wednesday), and the morning of July 17 (Thursday).",1,0.1
The meeting will begin at 6:00 and dinner will be served at 7:00.,-1,0
The conference closed at five.,-1,0.6
The meeting broke up at four.,-1,0.9
The meeting finished thirty minutes ago.,-1,0.3
Can the meeting be finished within two hours?,-1,0.4
The meeting is ten days away.,-1,0.5
The council began at 9:00 and should be finished by 10:45.,-1,0.8
Fix a date for the meeting.,-1,0.8
Guess what the managing director started off the meeting by saying. The first thing out of his mouth was an announcement of some major restructuring.,-1,0.9
At the meeting he monopolized the discussion and completely disrupted the proceeding.,-1,0.7
The chairman of the meeting became ill.,-1,0.7
Please note the change in the meeting agenda.,-1,0.7
The agenda for the meeting has been distributed.,-1,0.1
It would help us if you would reserve the following hotel during our conference.,1,0.3
Taking notes at each meeting is one of the official duties.,-1,0
I had a little chat with John after the meeting.,1,0
Did he show up at the meeting?,-1,0.5
Sorry I'm late for the meeting.,-1,0.9
Are you going to attend the meeting?,-1,0.5
I came to Tokyo to attend a conference.,1,0.1
Attend the meeting.,1,0.1
Those present at the meeting supported the bill.,1,0.4
Few people attended the meeting.,-1,0.7
Let's hurry to be in time for the meeting.,-1,0
Only a few people showed up on time for the meeting.,-1,0.8
I can't attend the meeting.,-1,0.9
How many people were present at the meeting?,-1,0.8
His proposals were adopted at the meeting.,1,0
You have to raise your hand if you want to speak at the meeting.,-1,0.3
"When Kawazoe pinned me down at the meeting, I broke out in a cold sweat.",-1,0.7
I was asked to put away all the papers we used at the meeting.,-1,0.6
I'd like to discuss the following at the meeting.,1,0
At the meeting I pointed out the plan's merit.,-1,0.2
Her absence went unnoticed until the end of the meeting.,-1,0.2
After the meeting she headed straight to her desk.,-1,0.2
The session will be prolonged again.,1,0.3
The audience filled the hall.,-1,0.5
"The members numbered thirty, all told.",-1,0.4
All the members were present.,-1,0.7
Each member was called upon.,-1,0.4
Were all the members present at the meeting?,-1,0.7
All the members were present at the meeting.,-1,0.7
Any member can make use of these facilities.,1,0.3
The members decreased to five.,-1,0.3
The members decreased by 50 to 400.,-1,0.6
"Mention each member by name, please.",-1,0.1
When did they register the names of the members?,-1,0.7
I absented myself from the meeting.,1,0
Absence makes the heart grow fonder.,1,0.5
The attendance at the party was larger than had been expected.,1,0.1
The meeting will take place next Monday.,1,0
The meeting was canceled because of the typhoon.,-1,0.8
The meeting was arranged for next Sunday.,1,0
The meeting came to an end at noon.,-1,0
The meeting took place yesterday.,-1,0.5
The meeting was canceled because of the rain.,-1,0.8
The meeting was all but over.,-1,0.3
How did you enjoy the party?,-1,0.6
The meeting finished at nine.,1,0
The meeting broke up at five.,-1,0.9
The meeting started at ten.,-1,0.2
The meeting was well attended.,1,0.6
"Prior to the meeting, they had dinner.",1,0
Ask him if he will attend the meeting.,1,0.3
You do not really understand a man till you have met him.,-1,0.6
It's not until you have met him that you really understand a man.,1,0
I wonder if you could find some time to see me.,1,0
It was around eight last night when the meeting broke up.,-1,0.9
"Whenever they meet, they quarrel.",-1,0.3
I never see her without wanting to kiss her.,-1,0.2
Nice seeing you!,1,0.8
It's been nice meeting you.,1,0.7
I'm glad to see you.,1,0.7
We never meet without parting.,-1,0.4
It is nice of you to come and see me.,1,0.6
"Every time I go to see him, he is in bed.",-1,0
You may bring anyone you want.,-1,0.3
It is Tom whom I want to see.,-1,0.3
"When we were on the brink of starvation, they saved our lives.",1,0.7
The buds are just showing.,-1,0.5
Come closer in order that you may see the screen better.,-1,0.2
"Please advise us, if possible, of a company which has developed image processing software.",-1,0.8
Where can I go to buy art books and catalogues?,-1,0.7
A painter only becomes a true painter by practicing his craft.,-1,0.2
The artist captured the charm of the lady.,1,0.5
A painter's eyes are his most important tools.,1,0.7
I'm not a toothless barking dog.,-1,0.7
I can't put up with it.,-1,0.1
I'll bite the bullet.,-1,0.7
Bite the bullet.,-1,0.1
Our company has annual sales of a thousand million yen.,1,0.1
We Japanese live on rice.,1,0.3
We Japanese come of age at twenty.,1,0.1
The two of us don't belong here.,-1,0.9
Not all of us can speak English.,-1,0.8
We all agree to the new plan.,-1,0.1
We consumers must buy more domestic products.,1,0.9
"Law to ourselves, our reason is our law.",1,0.8
We students all like baseball.,1,0.6
We spent the afternoon fooling around on the beach.,-1,0.1
We students are now at our best.,1,0.7
We were all assailed with fears.,1,0.2
"He died, so we might live.",-1,0.5
We came together to form a group.,1,0.2
We had better do what other people do.,-1,0
Were you just pulling my leg when you said we were all going to get extra bonuses?,-1,0.7
We were cut off while talking on the telephone.,-1,0.6
We should hold old people in reverence.,-1,0.2
We must provide for old age.,1,0.6
We were worried we might miss the train.,1,0.8
We started early so as not to miss the train.,1,0.2
We are very interested in the history.,1,0.2
We helped each other to overcome the difficulties.,1,0.8
We should cultivate our minds by reading good books.,1,0.7
We should obey our parents.,1,0.1
We had to walk the last leg of the journey.,1,0
Can we check the rapid spread of the 'flu?,-1,0.1
We rowed up the river against the current.,-1,0.5
We entered the room by the back door.,1,0.1
We had to put off the meeting because of the storm.,-1,0
We were caught in a storm.,1,0.1
We took cover from the thunder shower.,1,0
We agreed to start early the next morning.,-1,0.1
It is important that we make plans in relation to anticipated changes.,1,0.7
We arrived here in the evening.,1,0.3
We got together for short meeting after dinner.,-1,0.2
We carried on the discussion till late at night.,-1,0.4
We talked late into the night.,-1,0
We discussed the problem far into the night.,1,0.2
We advanced under cover of darkness.,1,0.5
We passed through a town at night.,1,0.1
We use computers to solve problems and to put information in order.,1,0
We have achieved all our aims.,1,0.1
We planted peanuts instead of cotton.,-1,0.3
We'll likely go to the ball game tomorrow.,-1,0.5
We will have to get over the feeling of helplessness.,1,0
We danced in the subdued lighting.,1,0
We carried out our mission successfully.,-1,0.4
We chaired the meeting democratically.,1,0.2
We stand for democracy.,1,0.3
We believe in democracy.,1,0.3
We live in a society of democracy.,1,0.5
We were looking for buried treasure.,1,0.4
We heard it from Mr Such and such.,1,0.2
We cannot really predict anything.,-1,0.8
We should not resort to violence.,-1,0.8
We will not bend to the will of a tyrant.,-1,0.3
We are bound to obey the law.,1,0.2
We were attacked by swarms of bees.,1,0.2
We gave our mother a watch.,1,0
We derive further pleasure from our study.,1,0.7
We broke up and went our own ways.,-1,0.7
We must preserve our peaceful constitution.,1,0.9
"We parted, never to see each other again.",1,0
We should try to make the conquest of peace.,1,0.3
We are a peace-loving nation.,1,0.8
We are working in the interest of peace.,1,0
We tried to project our analysis into the future.,1,0.3
We must be able to discriminate between objects and situations.,1,0.8
We believe in Buddhism.,1,0.4
We sailed against the wind.,-1,0.5
"We see things differently, according to whether we are rich or poor.",-1,0.8
We should help the needy.,1,0.3
We want freedom from poverty.,-1,0
We should not despise a man because he is poor.,-1,0.9
We should check the spread of the disease.,1,0
We're banking on you to provide all the money we need.,-1,0
We smell with our noses.,-1,0.7
We are lovers of the beautiful.,1,0.7
We looked down at the beautiful sea.,1,0.3
We went to New York by plane.,-1,0
We traveled to Mexico by plane.,1,0.4
We furnished the refugees with blankets.,1,0.5
We must keep down expenses.,1,0.1
We extended a hearty welcome to them.,1,0.4
We admire her for her bravery.,1,0.2
We hadn't so much as heard of her name.,-1,0.3
We are anxious about her health.,1,0.1
We got her to attend to the patient.,1,0.1
We bound her to secrecy.,1,0.1
We cannot distinguish her from her younger sister.,-1,0.9
We can depend on her helping us.,1,0.7
We confirmed her death.,1,0.1
We waited up for him until two o'clock and then finally went to bed.,-1,0.2
We delegated him to negotiate with them.,-1,0.1
We invited him to the dinner party.,-1,0
We appointed him as our representative.,1,0.7
We argued him into going.,-1,0.6
We assume that he is honest.,1,0.7
We number him among our closest friends.,1,0.4
We must help him immediately.,1,0.9
We look up to him as our leader.,1,0.3
We should follow his example.,-1,0
We elected him to be mayor.,1,0.4
We banished him from the country.,1,0
It appears to me that we misunderstand him.,-1,0
We have lost sight of him.,-1,0.2
